Start Time,End Time,English,About.Time.open subtitle.srt
00:54,00:58,<i>I always knew we were a fairly odd family. First there was me.</i>,<i>اول من بودم</i>
00:59,01:02,<i>Too tall. Too skinny. Too orange.</i>,<i>خيلي بلند. خيلي لاغر خيلي نارنجي</i>
01:02,01:05,"<i>My mum was lovely, but not like other mums.</i>",<i>،مامانم دوست داشتني بود ولي مثل مامان هاي ديگه نبود</i>
01:05,01:06,<i>There was something solid about her.</i>,<i>يه چيز خاص درباره ش بود‎</i>
01:06,01:09,"<i>Something rectangular, busy and unsentimental.</i>",<i>يه چيز غيرعادي، مشغول شده و غير احساساتي</i>
01:09,01:11,<i>Her fashion icon was the Queen.</i>,<i>تمثال مُدش، ملکه بود</i>
01:12,01:16,"<i>Dad, well, he was more normal. He always seemed to have time on his hands.</i>",<i>بابا، خب، اون عادي تر بود.هميشه به نظر ميومد که وقت کافي تو دست و بالش داره</i>
01:17,01:20,"<i>After giving up teaching university students on his 50th birthday,</i>",<i>بعد از کناره گيري از تدريس دانشگاه ،توي تولد پنجاه سالگيش</i>
01:20,01:23,<i>he was eternally available for a leisurely chat or</i>,<i>...هميشه براي گفتگوي تفريحانه يا</i>
01:23,01:25,<i>to let me win at table tennis.</i>,<i>اينکه بذاره تنيس روي ميز ازش ببرم، در دسترس بود</i>
01:25,01:26,"Ahh! Oh, yes.",آره
01:26,01:29,"<i>And then there was Mum's brother, Uncle Desmond.</i>",<i>و بعدش برادر مامان بود، دايي دزموند</i>
01:29,01:33,"<i>Always impeccably dressed. He spent the days just, well,</i>",<i>هميشه معصومانه لباس مي‌پوشيد ...روزهارو فقط، خب</i>
01:33,01:35,<i>being Uncle Desmond.</i>,<i>با عمو دزموند بودن سپري ميکرد</i>
01:35,01:38,<i>He was the most charming and least clever man you could ever meet.</i>,<i>اون دلربا ترين و بي ذکاوت ترين مردي بود که ميتونستيد پيدا کنين</i>
01:38,01:42,"<i>His mind was on other things, though we never found out what.</i>",<i>،ذهنش روي چيزهاي ديگه بود گرچه ما هيچوقت سر از کارش در نياورديم</i>
01:42,01:45,"<i>And then, finally there was Catherine.</i>",<i>و بعدش بالاخره، کاترين بود</i>
01:45,01:47,<i>Katie. Kit Kat. My sister.</i>,<i>کيتي، کيت کت، خواهر من</i>
01:48,01:51,"<i>In a household of sensible jackets and haircuts there was this,</i>",<i>در خانواده اي از ژاکت هاي محسوس و ...مدل هاي مو، اين</i>
01:51,01:54,"<i>well, what can I call her, nature thing.</i>",<i>!خب، چي ميتونم اسمشو بذارم چيز طبيعي بود...</i>
01:54,01:59,"<i>With her elfin eyes, her purple T-shirts and her eternally bare feet,</i>",<i>،با چشم‌هاي الف مانندشتي شرت بنفشش و پاهاي برهنه‌ش</i>
01:59,02:01,"<i>she was then, and still is to me,</i>",<i>،اون برام هميشه شگفت انگيز ترين چيز تو دنيا بوده و خواهد بود</i>
02:01,02:04,<i>about the most wonderful thing in the world.</i>,<i>،اون برام هميشه شگفت انگيز ترين چيز تو دنيا بوده و خواهد بود</i>
02:05,02:07,"<i>All in all, it was a pretty good childhood.</i>",<i>گذشته از همه‌ي اينها، دوران کدوکي نسبتا خوبي بود پُر از ريتم ها و الگوهاي تکراري</i>
