Start Time,End Time,English,Big.Hero.6.2014.720p.BluRay.x264-SPARKS.srt,Big.Hero.6.2014.720p.Bluray.Ganool By IMDB-dl.srt,Big.Hero.6.2014.720p.WEB-DL.Ganool.srt,Big.Hero.VI-BluRay.1080p-2014.srt,Big.Hero.open subtitle.srt
01:47,01:48,Get up! Get up!,ارائه‌ای از تیم ترجمه‌ی کـــــــافه فــــــیلم ..:: WwW.Cafe-Film.CoM ::..,!بلند شو! بلند شو,!بلند شو! بلند شو,بلندشو. بلندشو,!بلند شو! بلند شو
02:12,02:18,"The winner, by total annihilation...",!برنده با انهدام کامل,...برنده نهایی، اونهم با نابودی کامل,...برنده نهایی، اونهم با نابودی کامل,... برنده با نابودی کامل حریفان,...برنده نهایی، اونهم با نابودی کامل
02:18,02:20,Yama!,!ياما,"!""یاما""","!""یاما""","!""یاما""","!""یاما"""
02:20,02:21,Who is next?,بعدي کيه؟ کدوم يکي دلشو داره منو شکست بده؟,نفر بعدی کیه؟,نفر بعدی کیه؟,نفر بعد کیه؟,نفر بعدی کیه؟
02:22,02:25,Who has the guts to step into the ring with Little Yama?,بعدي کيه؟ کدوم يکي دلشو داره منو شکست بده؟,"کی جراتش رو داره بیاد تو رینگ با ""یاما"" کوچولو طرف بشه؟","کی جراتش رو داره بیاد تو رینگ با ""یاما"" کوچولو طرف بشه؟","کی این جرئت رو داره که با یاما"" کوچولو مبازره کنه""","کی جراتش رو داره بیاد تو رینگ با ""یاما"" کوچولو طرف بشه؟"
02:25,02:27,Yama!,!با ياما کوچولو,"!""یاما""","!""یاما""","""یاما""","!""یاما"""
02:27,02:29,Can I try?,ميشه من امتحان کنم؟,من می‌تونم؟,من می‌تونم؟,من میتونم امتحان کنم؟,من می‌تونم؟
02:31,02:34,I have a robot. I built it myself.,يه روبات دارم خودم ساختمش,.یه ربات دارم، خودم ساختمش,.یه ربات دارم، خودم ساختمش,من یه روبات دارم. خودم ساختمش,.یه ربات دارم، خودم ساختمش
02:40,02:41,"Beat it, kid.",!گمشو پسرجون قانون اينه: براي بازي کردن بايد پول بدي,.بزن به چاک، بچه,.بزن به چاک، بچه,بزن به چاک بچه‌جون,.بزن به چاک، بچه
02:42,02:44,House rules. You gotta pay to play.,!گمشو پسرجون قانون اينه: براي بازي کردن بايد پول بدي,.اینجا قانون داره .برای بازی کردن باید پول بدی,.اینجا قانون داره .برای بازی کردن باید پول بدی,قانون اینجا میگه باید پول بدی تا بازی کنی,.اینجا قانون داره .برای بازی کردن باید پول بدی
02:46,02:47,Is this enough?,اين کافيه؟,اینقدر کافیه؟,اینقدر کافیه؟,این کافیه؟,اینقدر کافیه؟
02:47,02:50,"What's your name, little boy?",اسمت چيه پسر کوچولو؟,اسمت چیه کوچولو؟,اسمت چیه کوچولو؟,اسمت چیه پسر کوچولو؟,اسمت چیه کوچولو؟
02:51,02:53,Hiro. Hiro Hamada.,"""هيرو. ""هيرو هامادا",".""هیرو""، ""هیرو هامادا""",".""هیرو""، ""هیرو هامادا""","""هیرو"". ""هیرو هامادا""",".""هیرو""، ""هیرو هامادا"""
02:53,02:56,"Prepare your bot, Zero.",روباتت رو آماده کن,.رباتت رو آماده کن، تازه‌کار,.رباتت رو آماده کن، تازه‌کار,(روباتت رو آماده کن صفرکیلومتر(تازه‌کار,.رباتت رو آماده کن، تازه‌کار
03:08,03:10,"Two bots enter,",...دو روبات وارد ميشن ولي فقط يکي جون سالم به در مي‌بره,...دو تا ربات وارد میشن,...دو تا ربات وارد میشن,دوتا روبات داخل میشن,...دو تا ربات وارد میشن
03:10,03:12,one bot leaves.,...دو روبات وارد ميشن ولي فقط يکي جون سالم به در مي‌بره,.فقط یکی باقی می‌مونه,.فقط یکی باقی می‌مونه,یکی جون سالم به در میبره,.فقط یکی باقی می‌مونه
03:12,03:13,Fighters ready?,مبارزين آماده هستن؟,مبارزها حاضرین؟,مبارزها حاضرین؟,مبارزان آماده؟,مبارزها حاضرین؟
03:15,03:16,Fight!,!شروع کنين,!بجنگید,!بجنگید,شروع کنید,!بجنگید
03:27,03:30,That was my first fight. I... Can I try again?,اين اولين مبارزه‌م بود ميشه دوباره امتحان کنم؟,این اولین مبارزه‌ام بود امکان داره دوباره امتحان کنم؟,این اولین مبارزه‌ام بود امکان داره دوباره امتحان کنم؟,اون اولین مبارزه‌ی من بود میتونم دوباره امتحان کنم؟,این اولین مبارزه‌ام بود امکان داره دوباره امتحان کنم؟
03:30,03:33,"No one likes a sore loser, little boy.",بهونه نيار پسر کوچولو,.هیچکس باختن رو دوست نداره، کوچولو,.هیچکس باختن رو دوست نداره، کوچولو,هیچ کس از یه بازنده‌ی غمگین خوشش نمیاد پسر کوچولو,.هیچکس باختن رو دوست نداره، کوچولو
03:33,03:35,Go home.,برو خونه,.برو خونه,.برو خونه,برو خونه,.برو خونه
03:35,03:36,I've got more money.,بازم پول همراهم دارما,.بازم پول دارم,.بازم پول دارم,... من پول بیشتری دارم,.بازم پول دارم
03:42,03:44,Fighters ready?,مبارزين آماده‌اين؟,مبارزها حاضرین؟,مبارزها حاضرین؟,مبارزان آماده؟,مبارزها حاضرین؟
03:44,03:45,Fight!,!شروع کنين,!بجنگید,!بجنگید,شروع کنید,!بجنگید
03:48,03:51,"Mega-bot, destroy.",!مگابات,.مگا-ربات، نابودش کن,.مگا-ربات، نابودش کن,"مگابات"" داغونش کن""",.مگا-ربات، نابودش کن
03:57,03:58,What?,,چی؟,چی؟,چی شد؟,چی؟
04:21,04:24,"- No more Little Yama. - But, wha...",ياما کوچولويي باقي نموند - ولي چطور؟ -,".دیگه خبری از ""یاما"" کوچولو نیست - ...اما -",".دیگه خبری از ""یاما"" کوچولو نیست - ...اما -","خبری از ""یاما""کوچولو نیست - ...اما، چ -",".دیگه خبری از ""یاما"" کوچولو نیست - ...اما -"
04:24,04:26,This is not possible!,!امکان نداره,.امکان نداره,.امکان نداره,این امکان نداره,.امکان نداره
04:27,04:29,"Hey, I'm as surprised as you are.",هي، منم مثل تو تعجب کردم شانسه ديگه,.منم مثل تو تعجب کردم,.منم مثل تو تعجب کردم,هی منم مثل تو غافلگیر شدم,.منم مثل تو تعجب کردم
04:29,04:30,Beginner's luck.,هي، منم مثل تو تعجب کردم شانسه ديگه,.چون تازه‌کارم شانس اوردم,.چون تازه‌کارم شانس اوردم,شانس تازه‌کاره هس,.چون تازه‌کارم شانس اوردم
04:30,04:33,"Do you want to go again, Yama?",بازم مي‌خواي بازي کنيم؟,"می‌خوای دوباره امتحان کنیم ""یاما""؟","می‌خوای دوباره امتحان کنیم ""یاما""؟","میخوای دوباره بری ""یاما""؟","می‌خوای دوباره امتحان کنیم ""یاما""؟"
04:34,04:36,- No one hustles Yama! - Whoa. Hey...,!هيچکس ياما رو گول نمي‌زنه,".هیچکس نمی‌تونه با ""یاما"" دربیوفته",".هیچکس نمی‌تونه با ""یاما"" دربیوفته","هیچ کس ""یاما"" رو گول نمیزنه - ...واو..هی -",".هیچکس نمی‌تونه با ""یاما"" دربیوفته"
04:36,04:38,Teach him a lesson.,!حسابشو برسين,.بهش یه درسی بدین یادش نره,.بهش یه درسی بدین یادش نره,بهش یه درس حسابی بده,.بهش یه درسی بدین یادش نره
04:39,04:41,"Hey, fellas. Let's talk about this.",هي رفقا چطوره مذاکره کنيم؟,.سلام، رفقا، بذارین در موردش حرف برنیم,.سلام، رفقا، بذارین در موردش حرف برنیم,سلام دوستان؛ بیاید درموردش حرف بزنیم,.سلام، رفقا، بذارین در موردش حرف برنیم
04:45,04:46,- Hiro! Get on! - Tadashi!,"!هيرو، سوارشو - !""تاداشي"" -",".هیرو""! سوار شو"" - .""تاداشی"" -",".هیرو""! سوار شو"" - .""تاداشی"" -","هیرو""سوارشو"" - ""تاداشی"" -",".هیرو""! سوار شو"" - .""تاداشی"" -"
04:47,04:48,Good timing!,به موقع رسيدي,.درست به موقع,.درست به موقع,زمان بندی خوبی بود,.درست به موقع
04:54,04:55,"Oh, mama!",!واي مامان جون,!وای،مامان‌جون,!وای،مامان‌جون,آخ مادر جون,!وای،مامان‌جون
