Start Time,End Time,English,Infinite -open subtitle.srt
00:53,00:56,"There are among us a people,",،افرادي در ميان ما هستن
00:56,01:00,gifted with a perfect memory of all their past lives.,که در يادآوري کامل زندگي‏هاي گذشته‏شون .موهبتي دارن
01:00,01:03,They call themselves... lnfl'nites.,.به خودشون ميگن بي‏نهايت‏ها
01:06,01:09,"Among the lnflm'tes, two groups have vied for power.",،در ميان بي‏نهايت‏ها :دو گروه براي قدرت رقابت مي‏کنن
01:10,01:12,"On one side the believers,","،""در يک سو ""باورمندان"
01:12,01:14,dedicated to using their kno w/edge,که خود رو وقفِ بهره‏گيري از دانش‏شون .براي پاسداري و رشد همه‏ي بشريت کردن
01:14,01:17,for the protection and growth of all humanity.,که خود رو وقفِ بهره‏گيري از دانش‏شون .براي پاسداري و رشد همه‏ي بشريت کردن
01:17,01:19,"Against them stand the n/hi/ists,",،در مقابل اونا، پوچ‏گراها هستن
01:19,01:22,who see this power as a curse.,.که به اين قدرت به چشم نفرين نگاه مي‏کنن
01:23,01:25,New technologies have given the nihilists,...فناوري‏هاي جديد به پوچ‏گراها فرصتي داده
01:25,01:28,an opportunity to end all life on earth.,تا به زندگي در روي زمين... .پايان دهند
01:29,01:32,And the race is on for its control.,،و به منظور کنترل آن .اين رقابت ادامه داره
02:05,02:06,"Treadwa y, tell me you got it.",.تريدوي، بگو که به دستش آوردي
02:06,02:09,"Yeah. Yeah, I got it. I got it.",.آره. آره، گيرش آوردم .گيرش آوردم
02:20,02:21,Might be delayed a little.,.شايد يه کم دير کنم .الان دارم ميام ببينمت
02:22,02:24,- I'm headed to meet you now. - Copy that.,.شايد يه کم دير کنم .الان دارم ميام ببينمت
02:45,02:46,"Treadwa y, you okay?",تريدوي، حالت خوبه؟
02:47,02:48,We can't let him get the egg back.,".نمي‏تونيم بذاريم ""تخم"" رو پس بگيرن"
02:51,02:53,I can't believe bathurst would go this far.,باورم نمي‏شه باتورست تا .اين اندازه پيش بره
02:53,02:55,He's not the man we remember.,.اون ديگه مردي نيست که ما به ياد داريم
02:56,02:57,Shit.,.گندش بزنن
03:12,03:13,Shit.,.ريدم توش
03:37,03:40,"Abel, I'm gonna take a shortcut. Meet me at the freeway.",.ايبل. مي‏خوام ميان‏بُر بزنم .توي آزادراه بيا منو ببين‏
05:18,05:19,They got it blocked off.,.آزادراه رو بستن
05:21,05:23,"- Get to the base of the crane. - Treadway, listen.",.به پايينِ جرثقيل بيا - .تريدوي، گوش کن -
05:23,05:24,Do not go up that bridge.,.روي اون پُل نرو
05:33,05:35,Treadway? Treadway?,تريدوي؟ تريدوي؟
05:39,05:40,"Abel, listen to me.",.ايبل، به من گوش کن
05:41,05:44,"If I fail, look inside.",.اگه موفق نشدم، داخل رو نگاه کنيد
05:44,05:46,"I don't know what miracle you think you're gonna pull off,",نمي‏دونم به خيال خودت مي‏خواي ،چه معجزه‏اي انجام بدي
05:46,05:49,but there's a 150-foot gap in front of you.,.ولي يه شکاف 46 متري جلوته
05:49,05:50,What is his plan?,نقشه‏ش چيه؟
06:50,06:51,Leona. Please.,.لئونا. خواهش مي‏کنم
06:53,06:56,"Leona, wake up. Wake up.",.لئونا، بيدار شو .بيدار شو
07:26,07:28,I'll find you in the beginning.,".در ""آغاز"" پيدات مي‏کنم"
07:29,07:30,I love you.,.دوستت دارم
07:50,07:55,Did you ever have a dream so real... It felt like a memory?,تاحالا رويايي اون‏قدر واقعي ديده‏ايد که حسش مثل حس يه خاطره باشه؟
07:57,08:00,You ever catch yourself in the mirror and it's a surprise?,تاحالا خودتون رو توي آينه ديديد و تعجب کنيد؟
08:01,08:04,Like you expected to see someone else's face,انگار که انتظار داشتيد چهره‏ي ...کس ديگه‏اي رو ببينيد
08:04,08:05,staring back at you.,.که بهتون خيره شده باشه...
08:09,08:13,"All these people all going some where, all doing something.",،همه‏ي اين افراد به جاهايي ميرن ،کارهايي انجام ميدن
08:13,08:15,But what does it all add up to?,اما همه‏ي اينها حاکي از چيه؟
08:16,08:17,"Maybe if I knew the answer,",شايد اگه پاسخش رو مي‏دونستم، همه‏ي اين .مسائل کوچيک باهم جفت و جور مي‏شدن
08:18,08:20,all the little things might click together.,شايد اگه پاسخش رو مي‏دونستم، همه‏ي اين .مسائل کوچيک باهم جفت و جور مي‏شدن
08:20,08:21,They might make sense.,.شايد منطقي مي‏شدن «شهر نيويورک - زندگي فعلي»
08:22,08:24,- Hey. Hi. - E Van. Right on time.,.سلام. سلام - .ايوان. درست به موقع اومدي -
08:25,08:26,Nice to see you. How are ya?,.از ديدنت خوشحالم حال و احوالت؟
08:27,08:29,"- Any trouble getting here? - No. No, not at all.",واسه اومدن به اينجا که مشکلي نداشتي؟ - .نه. نه، به هيچ وجه -
08:30,08:32,Third interview this week.,.مصاحبه سوم اين هفته
08:32,08:34,"- Here he is. - Hey, gentlemen.",.ايناهاش - .سلام، آقايون -
08:34,08:36,Hey. How are you?,سلام. حال شما؟
08:36,08:38,"- Pleasure to meet you. - Evan, great to meet you.",.از آشنايي‏تون خوش‏بختم - .ايوان، از ديدنت خيلي خوشحالم -
08:38,08:39,Thank you for your time. I really appreciate it.,.از وقتي که گذاشتي خيلي سپاس‏گزارم .واقعاً تشکر مي‏کنم
08:39,08:41,- Right. - Wow.,.از وقتي که گذاشتي خيلي سپاس‏گزارم .واقعاً تشکر مي‏کنم
08:41,08:43,Beautiful place you have here. Absolutely gorgeous.,.واو. اينجا رستوران قشنگي داري - .ممنونم -
08:44,08:46,I just got a couple questions if you don't mind.,.خيلي خوشگله - .اگه اشکالي نداره، 2-3 تا سوال دارم -
08:46,08:47,Of course.,.بله، البته
08:47,08:52,There are a couple of question marks in your past.,.توي گذشته‏ت چند تا علامت سوال هست
08:53,08:54,I recognize that.,.متوجهم
08:55,08:58,You're the first face people see,وقتي مردم به رستورانم ميان .تو اولين چهره‏اي هستي که اونا مي‏بينن
08:58,09:01,when they walk into my restaurant.,وقتي مردم به رستورانم ميان .تو اولين چهره‏اي هستي که اونا مي‏بينن
09:01,09:02,And they'd be greeted with a smile.,.و با لبخند ازشون استقبال مي‏شه
09:02,09:05,I have had some issues in the past.,.توي گذشته يه سري مشکلات داشتم
09:05,09:07,"I did a full background check on you, Mr. Mccauley.",،پيشينه‏تون رو کامل بررسي کردم .آقاي مک‏کالِي
09:08,09:10,I spoke to some of your past employers.,.با چند تا از کارفرماهاي قبلي‏تون حرف زدم
09:11,09:15,And you know what? They all said the same thing.,و مي‏دوني چيه؟ .حرفِ همه‏شون يکي بود
09:15,09:18,I'm interested to hear what they had to say.,.علاقه‏مندم که بشنوم حرف‏شون چي بوده
09:18,09:22,They say you're great! They say you're smart. He's a smart guy.,.ميگن باهوشي .آدم باهوشيه
09:22,09:24,"Smart guy right here, huh?",.ميگن باهوشي .آدم باهوشيه
09:24,09:26,That's all good. I guess I've got the job then.,آقاي باهوش همين‏جاست، ها؟
09:26,09:27,When do I start?,خيلي خوبه. پس گمونم اين شغل رو به دست آوردم. کِي کارم رو شروع کنم؟
