Start Time,End Time,English,Interstellar 2014 DVDScr FaSub Remington[Edited].srt,Interstellar 2014 HQ DVDScr FaSub Remington.srt,Interstellar 2014.srt,Interstellar BluRay 1080p 720p Fa.Remington.srt,Interstellar-2014-720p_IMDB-DL.Com.srt,Interstellar.2014.720p.BluRay.x264-DAA.srt,Interstellar.2014.ALL.BLURAY.9Movie.WorldSubtitle.srt,Interstellar.2014.BluRay.1080p.720p.Fa.srt,Interstellar.2014.BluRay.NightMovie.srt,Interstellar1080farsi.srt,persian1.srt
00:01,01:14,http://subscene.com/u/659433 Improved by: @Ivandrofly,www.Remington.blogfa.com,www.Remington.blogfa.com,تقديم به تمام پارسي زبانان جهان,www.Remington.blogfa.com,"<font color=""#00ff00"">تخصصي ترين سايت فيلم و سريال</font> <font color=""#de2504"">WWW.IMOVIE-DL.COM </font> <font color=""#00ff00"">تقديم مي‌کند</font>","‏<font color=""#ff8000"">ارائه‌ای از تیم ترجمه‌ی کـــــــافه فــــــیلم</font> <font color=""#00ffff"">..:: WwW.Cafe-Film.CoM ::..</font>","<font color=""#ff8000"">ارائه ای مشترک از تیم ترجمه ناین مووی و جهان زیرنویس</font> www.9Movie.iN  ||  www.WorldSubtitle.in",تقديم به تمام پارسي زبانان جهان,<font color=#00CCFF>ارائــه اي از رسانه بزرگ نايــت مـــووي</font> <font color=#FFFF00>NightMovie.net</font>,زیرنویس از : محمد عباسی Khob_bad_zesht_1985@yahoo.com,
01:14,01:16,"WOMAN 1: Well, my dad was a farmer.",پدرم یک کشاورز بود,پدرم یک کشاورز بود,خب، پدرم يه کشاورز بود,پدرم یک کشاورز بود,.پدرم یه کشاورز بود,‏پدرم یه کشاورز بود,بابام یه کشاورز بود,خب، پدرم يه کشاورز بود,خب، پدرم يه مزرعه‌دار بود,خب ، پدر من یه کشاورز بود,خب، پدرم يه کشاورز بود
01:18,01:20,"Um, like everybody else back then.",مثل همه که مجبور به این کار بودن,مثل همه که مجبور به این کار بودن,مثل بیشتر مردم در اون زمان,مثل همه که مجبور به این کار بودن,.مثل تمام افراد اون زمان,‏مثل هر کس دیگه‌ای اونموقع همین شغل رو داشت,مثل هرآدم دیگه ای تو اون زمان,مثل اکثريت مردم در اون زمان,تو اون دوران تقريباً همه مزرعه‌دار بودن,مثل اکثر آدمای اون دوره,مثل اکثريت مردم در اون زمان
01:22,01:24,"Of course, he didn't start that way.",البته شغل‌شو اونطوری شروع نکرد,البته شغل‌شو اونطوری شروع نکرد,<i>البته مشخصه که از اول کارش اين نبود</i>,البته شغل‌شو اونطوری شروع نکرد,.البته اونطوری شروع نکرد,‏البته از اولش اینکاره نبود,البته اونجوری شروع نکرد,<i>البته معلومه که از اول کارش اين نبود</i>,البته شروع کارش با مزرعه‌داري نبود,البته کارش از اول این نبود,<i>البته معلومه که از اول کارش اين نبود</i>
01:25,01:27,(DISTANT RUMBLING),,,,,,,البته اونجوری شروع نکرد,,,البته کارش از اول این نبود,
01:30,01:31,(ALARM BEEPING),سیستم میگه در معرض فشار قرار گرفتی,سیستم میگه در معرض فشار قرار گرفتی,,سیستم میگه در معرض فشار قرار گرفتی,,,,,,"کامپیوتر نشون میده که ""فشار خیلی زیاده ، ""کوپر",
01:31,01:33,MAN OVER RADIO: Computer says you're too tight.,نه، مشکلی نداره,نه، مشکلی نداره,<i>رايانه ميگه فشار خيلي زياده</i>,سیستم میگه در معرض فشار قرار گرفتی,.کامپیوتر میگـه خیلی تحت فشاری,‏کامپیوتر میگه وضعیتت خیلی وخیمه,کامپیوتر میگه  خیلی زیرفشاری,<i>رايانه ميگه فشار خيلي زياده</i>,محاسبه‌ها نشون ميدن فشاري که ايجاد ميکني، خيلي زياده,"کامپیوتر نشون میده که ""فشار خیلی زیاده ، ""کوپر",<i>رايانه ميگه فشار خيلي زياده</i>
01:33,01:35,"- Nah, I got this. - Crossing the Straights.",از مخمصه عبور می‌کنیم,از مخمصه عبور می‌کنیم,<i>نه، حواسم هست - در حال عبور از تنگه -</i>,از مخمصه عبور می‌کنیم,!نه، تحت کنترلــه - !داری از تنگه رد میشی -,‏- نه از پسش برمیام ‏- در حال عبور از تنگه,زیر کنترله - عبور از تنگه -,<i>نه، حواسم هست - در حال عبور از تنگه -</i>,"نه، ميتونم کنترلـش کنم - استريتز"" رو رها کن"" -",عبور از فشار,<i>نه، حواسم هست - در حال عبور از تنگه -</i>
01:38,01:40,"- Shutting it down, Cooper. - No!",باید خاموشش کنم، کوپر,باید خاموشش کنم، کوپر,"<i>""موتور رو خاموش ميکنم، ""کوپر - !نه -</i>",باید خاموشش کنم، کوپر,".""باید خاموشش کنم ""کوپر - !نـه -","""‏- ‏باید خاموشش کنم ""کوپر !‏- نــــه","""مجبورم خاموشش کنم ""کوپر","<i>""موتور رو خاموش ميکنم، ""کوپر - !نه -</i>",داريم خاموشـش کنيم، کوپر - !نه -,"""موتورها رو خاموش میکنم ""کوپر - نه -","<i>""موتور رو خاموش ميکنم، ""کوپر - !نه -</i>"
