Start Time,End Time,English,Venom.The.Last.Dance.2024.BluRay.Film2Media.srt,Venom_The_Last_Dance_open subtitle.srt
00:54,00:56,I am Knull.,من نال هستم,مترجم مستر مووی کانال تلگرام : @MRMOVIEHC
00:56,00:58,God of the void.,ایزد خلاء,مترجم مستر مووی کانال تلگرام : @MRMOVIEHC
00:58,01:00,Slicer of worlds.,پاره‌کننده‌ی دنیاها,مترجم مستر مووی کانال تلگرام : @MRMOVIEHC
01:00,01:03,"<i>Long ago,</i>",<i>،در دیرباز</i> <i>،آن هنگام که نور در قلمروی من تاخت و تاز به پا کرد</i>,
01:03,01:06,"<i>when light invaded my kingdom,</i>",<i>،در دیرباز</i> <i>،آن هنگام که نور در قلمروی من تاخت و تاز به پا کرد</i>,
01:06,01:09,<i>my symbiote children betrayed me</i>,"<i>فرزندان ""سیمبیوت""‌ من به من خیانت کرده</i> <font color=""#fdffae"" face=""Calibri""><b>نژادی از انگل‌های فرازمینی و بدون شکلِ تو کمیک‌های مارول) (ونوم هم یکیشونه</b></font>",
01:10,01:12,<i>and imprisoned me here.</i>,<i>و در اینجا محبوسم کردن</i>,
01:16,01:20,"At last, a codex has been created.",سرانجام، کُدِکس‌ـی پدید آمده,من خدای خلأ نیستم قاتل دنیاها
01:20,01:23,It is the key to my freedom.,این، کلیدی برای آزاد ساختن منه,زمانی که نور به قلمروم حمله کرد
01:23,01:26,It will unlock this prison.,قفل این زندان را می‌گشایه,زمانی که نور به قلمروم حمله کرد
01:27,01:31,I order you to search the corners of the universe,گوشه به گوشه هستی را گشته,بچه‌های همزیستم بهم خیانت کردن و منو اینجا زندونی کردن
01:31,01:34,until you find this key.,تا این کلید را بیابید,بچه‌های همزیستم بهم خیانت کردن و منو اینجا زندونی کردن
01:34,01:37,Find me the codex.,کدکس را برایم بیابید,بالاخره کدکس داره ساخته میشه
01:44,01:46,"And when I escape,",،و آن هنگام که بگریزم,این زندانو باز می‌کنه
01:46,01:48,and annihilate every living planet,و هر سیاره حیات‌دار را زِدوده کرده,دستور میدم همه گوشه‌های جهان رو بگردی تا این کلید رو پیدا کنی
01:49,01:53,"and destroy my symbiote offspring,",و سیمبیوت‌های زاده‌م را ،نابود سازم,دستور میدم همه گوشه‌های جهان رو بگردی تا این کلید رو پیدا کنی
01:53,01:55,I will reward you...,شما را با زندگانیتان پاداش خواهم داد,دستور میدم همه گوشه‌های جهان رو بگردی تا این کلید رو پیدا کنی
01:56,01:57,with your lives.,شما را با زندگانیتان پاداش خواهم داد,کدکس رو برام پیدا کن
02:33,02:35,"<i>So you're saying in this universe,</i>",<i>،تو این دنیا</i> <i>این آدمای ابرقهرمان در کارن</i>,
02:35,02:37,<i>there's these superhero people.</i>,<i>،تو این دنیا</i> <i>این آدمای ابرقهرمان در کارن</i>,
02:37,02:38,All right.,خیلی‌خب,
02:39,02:42,So tell me again about your purple alien friend,میگم باز راجب این رفیق فضایی بنفشتون,
02:42,02:44,who really loves stones.,که بدجور عشق سنگ داره برام تعریف کن,
02:45,02:47,"'Cause I'll tell you what, man,",،چون بذار بهت بگم داستان چجوریاست، مرد,
02:47,02:51,"aliens, they do not love stones.",،فضایی‌ها,
02:51,02:52,"<i>- Eddie, don't start.</i> - No.",<i>ادی، شروع نکن -</i> نه، نه -,
02:52,02:55,"No, they do not love stones.",اونا عشق سنگ ندارن,یعنی تو میگی توی این دنیا آدمای ابرقهرمان هستن
02:56,02:57,Do you know what they love?,می‌دونی اونا عشق چی دارن؟,یعنی تو میگی توی این دنیا آدمای ابرقهرمان هستن
02:58,03:00,They love eating brains!,اونا عشق مغزخوری دارن,خب دوباره بگو از اون رفیق بنفشت که عاشق سنگ‌هاست
03:00,03:02,Because that's what they do.,چون کارشون اینه,خب دوباره بگو از اون رفیق بنفشت که عاشق سنگ‌هاست
03:02,03:06,"<i>Señor,</i> he made my family disappear.",جناب، اون خونواده منو ناپدید کرد,خب دوباره بگو از اون رفیق بنفشت که عاشق سنگ‌هاست
03:06,03:07,For five years.,اونم پنج سال,ببین داداش فضایی‌ها عاشق سنگ نیستن
03:10,03:11,"Five years, huh?",خب، پنج سال، ها؟,ببین داداش فضایی‌ها عاشق سنگ نیستن
03:13,03:15,"Well, that is a long time.",خب، یه عمره,عاشق سنگ نیستن
03:16,03:17,All right.,خیلی‌خب,می‌دونی عاشق چی هستن؟
03:17,03:19,<i>Eddie!</i>,<i>ادی</i>,
03:19,03:21,<i>We are drunk!</i>,<i>ما مست شدیم</i>,عاشق مغز خوردنن چون کارشون همینه
03:34,03:36,<i>We're home!</i>,<i>اومدیم خونه</i>,ببین پنج سال خیلی زمانه
03:36,03:38,<i>I'm so done with the multi-verse shit.</i>,<i>دیگه از دست این ریدمال چندجهانی شدید چیزم دراومده</i>,باشه
03:38,03:40,<i>And I like our version of the barman better.</i>,<i>و با نسخه بارچی خودمون هم بیشتر حال می‌کنم</i>,ما مستیم
03:41,03:43,Ow. My head hurts.,سرم درد میکنه,ما مستیم
03:43,03:45,"I feel like I'm drunk,",حسِ مستی دارم,
03:45,03:47,but I'm also hungover at the same time.,ولی در آن واحد خمار هم هستم,
03:47,03:49,<i>Eddie! You want a Bloody María.</i>,<i>تو یه مشروب بِلادی مِری دواته</i>,
03:50,03:51,"<i>Oh, yeah!</i>",<i>آره بابا</i>,
03:55,03:57,- No. - I don't want a drink.,نه - من مشروب نمی‌خوام -,خونه‌ایم
04:00,04:03,Stop! You are destroying this man's bar!,بس کن! داری میخونه این مرد رو به ویرونه میکشونی,سرم درد می‌کنه
04:09,04:10,<i>Tequila!</i>,<i>تِکیلا</i>,یه بلادی مری میخوای ؟
04:11,04:13,"<i>I'm having the time of my life, Eddie!</i>",<i>یعنی دارم زندگی می‌کنما، ادی</i>,نمی‌خوام چیزی بخورم
04:14,04:16,I'd rather have a glass of water.,یه لیوان آب رو مقدم می‌شمارم,نمی‌خوام چیزی بخورم
04:16,04:17,"<i>Be a man, Eddie.</i>",<i>مردی گفتن بابا، ادی</i>,نمی‌خوام چیزی بخورم
04:19,04:22,<i>We should've been a bartender!</i>,<i>ما باید بارچی می‌شدیما</i>,داری بار این بنده خدا رو خراب می‌کنی
04:26,04:28,<i>- Tequila!</i> - I did it.,من تونستم - <i>منم که تونستم -</i>,
04:28,04:29,I <i>did it.</i>,من تونستم - <i>منم که تونستم -</i>,
04:31,04:34,What the hell were those things?,اونا دیگه آخه چه کوفتی بودن؟,امروز خیلی خوش می‌گذره
04:35,04:36,I was born with them.,مادرزاد باهاشونم,ترجیح می‌دم یه لیوان آب بخورم
04:38,04:41,Freaking bar! I'm done with this shit!,.این میخونه شیری تخیلی .دیگه نمیکشم این ریدمال رو,باید بارتندر می‌شدیم
04:43,04:46,<i>This is Kelly Roulet reporting from San Francisco.</i>,<i>از سان فرانسیسکو خبررسانی می‌کنم</i>,
04:46,04:49,<i>Police are still trying to locate</i>,"{\an8}<font face=""Segoe UI"" color=""#ffff00""><b>:فراری] [ادی براک</b></font>",من زدم
04:49,04:50,<i>former reporter Eddie Brock for questioning...</i>,<i>پلیس همچنان در تلاش برای یافتنِ خبرنگار سابق</i>,من زدم
04:50,04:52,"Oh, no.",<i>...ادی براک به هدف بازجویی</i> وای نه -,
04:52,04:55,<i>...after the tragic death of Detective Patrick Mulligan.</i>,<i>آن هم بعد از مرگ غم‌انگیزِ کارآگاه پاتریک مولیگان می‌باشد</i>,اون چیزا چی بودن؟
04:55,04:56,No.,نه,از اول با من بودن
04:56,04:58,<i>Detective Mulligan was found impaled</i>,<i>کارآگاه مولیگان در میانِ یک سری وقایع عجیب و نامانوس</i>,از اول با من بودن
04:58,05:01,<i>amidst a series of bizarre happenings</i>,<i>در کلیسای جامع شهر</i>,این بار لعنتی دیگه بسه
05:01,05:02,<i>at the city's cathedral.</i>,<i>فرو رفته در چوب، پیدا شد</i>,
05:02,05:04,They think that I killed him.,فکر میکنن من کشتمش,این گزارش کیلی روله از سانفرانسیسکو هست
05:04,05:06,<i>How long can he evade authorities?</i>,<i>تا کِی می‌تونه از دست مقامات گریزان باشه؟</i>,این گزارش کیلی روله از سانفرانسیسکو هست
05:06,05:08,<i>Only time will tell.</i>,<i>تنها زمان، مشخص خواهد کرد</i>,پلیس هنوز دنبال گزارشگر سابق ادی براک برای بازجویی‌ه
05:08,05:10,"<i>If we are on the news here,</i>",<i>،اگه ما تو اخبار اینجاییم</i>,پلیس هنوز دنبال گزارشگر سابق ادی براک برای بازجویی‌ه
05:10,05:13,<i>we are on the news everywhere.</i>,<i>تو اخبار هر جایی هستیم</i>,پلیس هنوز دنبال گزارشگر سابق ادی براک برای بازجویی‌ه
05:15,05:16,"Well, we can't go back to San Francisco.",خب، نمی‌تونیم برگردیم سانفرانسیسکو,بعد از مرگ غم‌انگیز کارآگاه پاتریک مالیگان
05:16,05:18,"And I'm not staying down here,",و من اینجا هم نمی‌مونمُ,کارآگاه مالیگان رو توی حالت بدی پیدا کردن و
