Start Time,End Time,English,Dune (2021) WebDl - UTF-8 [EDITED].srt,Dune 2021.srt,Dune. 2021.srt,Dune.2021. BluRay.srt,Dune.2021.1080p.BluRay.1600MB.DD2.0.x264-GalaxyRG.srt,Dune.2021.1080p.BluRay.REMUX.AVC.DTS-HD.MA.TrueHD.7.1.Atmos-FGT.srt,Dune.2021.1080p.BluRay.srt,Dune.2021.1080p.HMAX.WEB-DL.DDP5.1.Atmos.x264-EVO.Fa.srt,Dune.2021.1080p.HMAX.WEB-DL.v7[UTF-8].srt,Dune.2021.720p.1080p.720p.HMAX.WEB-DL.srt,Dune.2021.720p.1080p.BluRay.Fa.srt,Dune.2021.720p.BluRay.900MB.x264-GalaxyRG.srt,Dune.2021.BRRip.x264-ION10.srt,Dune.2021.BluRay.Per-SAHEB.srt,Dune.2021.BluRay.[@cinama_bestt].srt,Dune.2021.BluRay.srt,Dune.2021.HMAX.WEB-DL.Fa[UTF-8]v6.srt,Dune.2021.HMAX.WEB-DL.Per-SAHEB.srt,Dune.2021.WEB-DL.AC3-EVO.srt,Dune.2021._BluRay.v7[UTF-8].srt
00:56,00:58,<i>My planet Arrakis is so beautiful</i>,،سیاره‏ی من، آرّاکیس ...هنگام خفتنِ خورشید,,‫سیاره من، «آراکیس» ‫در هنگام غروب آفتاب بسیار زیباست,‫سیاره من، «آراکیس» ‫در هنگام غروب آفتاب بسیار زیباست,<i>سیارم، آراکیس، وقتی خورشید در پایین ترین نقطه اس زیبا میشه</i>,وقتی خورشید غروب میکنه,‫سیاره من، آراکیس، موقع غروب آفتاب,‫سیاره‌ی من، آراکیس، ‫موقع غروب خورشید خیلی زیباست,"،وقتی خورشید در حال غروبه سیاره‌ی من، ""اراکیس""، خیلی زیباست",<i>سیاره من، آراکیس</i> <i>موقع غروب خورشید خیلی زیباست</i>,<i>سیاره من، آراکیس</i> <i>موقع غروب خورشید خیلی زیباست</i>,‫سیاره‌ی من، آراکیس، ‫موقع غروب خورشید خیلی زیباست,<i>سیارم، آراکیس، وقتی خورشید در پایین ترین نقطه اس زیبا میشه</i>,وقتی خورشید داره غروب می‌کنه سیاره‌م، آراکیس خیلی زیبا میشه.‏,<i>سیاره ی من، اراکیس موقع غروب افتاب خیلی قشنگه</i>,<i>سیاره من، آراکیس</i> <i>زمانی که خورشید غروب میکنه</i>,"،وقتی خورشید در حال غروبه سیاره‌ی من، ""اراکیس""، خیلی زیباست",وقتی خورشید داره غروب می‌کنه سیاره‌م، آراکیس خیلی زیبا میشه.‏,رؤیاها پیامی هستند از اعماق.,"،وقتی خورشید در حال غروبه سیاره‌ی من، ""اراکیس""، خیلی زیباست"
00:58,00:59,<i>when the sun is low.</i>,.بسیار زیباست...,‫وقتی روی ماسه‌ها قدم میزنی،,‫سیاره من، «آراکیس» ‫در هنگام غروب آفتاب بسیار زیباست,‫سیاره من، «آراکیس» ‫در هنگام غروب آفتاب بسیار زیباست,<i>سیارم، آراکیس، وقتی خورشید در پایین ترین نقطه اس زیبا میشه</i>,سیاره من، «آراکیس» خیلی زیباست,‫خیلی زیبا میشه.,‫سیاره‌ی من، آراکیس، ‫موقع غروب خورشید خیلی زیباست,"،وقتی خورشید در حال غروبه سیاره‌ی من، ""اراکیس""، خیلی زیباست",<i>سیاره من، آراکیس</i> <i>موقع غروب خورشید خیلی زیباست</i>,<i>سیاره من، آراکیس</i> <i>موقع غروب خورشید خیلی زیباست</i>,‫سیاره‌ی من، آراکیس، ‫موقع غروب خورشید خیلی زیباست,<i>سیارم، آراکیس، وقتی خورشید در پایین ترین نقطه اس زیبا میشه</i>,وقتی خورشید داره غروب می‌کنه سیاره‌م، آراکیس خیلی زیبا میشه.‏,,<i>خیلی زیباست</i>,"،وقتی خورشید در حال غروبه سیاره‌ی من، ""اراکیس""، خیلی زیباست",وقتی خورشید داره غروب می‌کنه سیاره‌م، آراکیس خیلی زیبا میشه.‏,,"،وقتی خورشید در حال غروبه سیاره‌ی من، ""اراکیس""، خیلی زیباست"
01:03,01:05,<i>Rolling over the sands...</i>,...می‏تونی اِسپایس رو در هوا ببینی که,‫میتونی درخشش اِسپایس‌ها رو در هوا ببینی ‫(ماده‌ای به نام «ملانژ» که به آن ادویه هم می‌گویند),‫وقتی روی ماسه‌ها قدم میزنی،,‫وقتی روی ماسه‌ها قدم میزنی،,<i>وقتی روی شن‌ها غوطه میخوره</i>,وقتی خورشید روی ماسه ها میتابه,‫تو اون لحظات، لابلای ماسه‌ها,‫غلتان روی شن‌ها...,...بر فراز شن‌ها,<i>... وقتی از روی ماسه‌ها می‌لغزه</i>,<i>... وقتی از روی ماسه‌ها می‌لغزه</i>,‫غلتان روی شن‌ها...,<i>وقتی روی شن‌ها غوطه میخوره</i>,غلطان روی ماسه‌ها...‏,<i>میتونی تو هوا ادویه ها رو ببینی</i>,<i>...روی شن‌ها</i>,...بر فراز شن‌ها,روی ماسه‌ها حرکت می‌کنه...‏,<i>بر فراز شن‌ها...</i>,...بر فراز شن‌ها
01:06,01:08,<i>you can see spice in the air.</i>,.بالای شن‏ها غلت می‏خورند...,,‫میتونی درخشش اِسپایس‌ها رو در هوا ببینی ‫(ماده‌ای به نام «ملانژ» که به آن ادویه هم می‌گویند),‫میتونی درخشش اِسپایس‌ها رو در هوا ببینی ‫(ماده‌ای به نام «ملانژ» که به آن ادویه هم می‌گویند),"<i>میتونی ""ادویه"" رو تو هوا ببینی</i> «میلانژ یا ادویه نام نوعی دارو است»",میتونی «اسپایس» رو توی هوا ببینی,‫می‌تونی اسپایس رو تو هوا ببینی.,‫می‌تونین «اسپایس» رو در هوا ببینین,"می‌شه ""اسپایس"" رو دید که توی هوا موج می‌زنه (ادویه=)",<i>میتونی اسپایس رو توی هوا ببینی</i>,<i>میتونی اسپایس رو توی هوا ببینی</i>,‫می‌تونین «اسپایس» رو در هوا ببینین,"<i>میتونی ""ادویه"" رو تو هوا ببینی</i> «میلانژ یا ادویه نام نوعی دارو است»",دونه‌های «پساماسه» رو میشه در هوا دید.‏,<i>میتونی تو هوا ادویه ها رو ببینی</i>,<i>می‌تونی اسپایس رو ببینی</i>,"می‌شه ""اسپایس"" رو دید که توی هوا موج می‌زنه (ادویه=)",دونه‌های «پساماسه» رو میشه در هوا دید.‏,<i>...می‌تونید «ادویه» رو ببینید که در هوا چرخ می‌زنه.</i>,"می‌شه ""اسپایس"" رو دید که توی هوا موج می‌زنه (ادویه=)"
01:21,01:25,"<i>At nightfall, the spice harvesters land.</i>",.شب‏هنگام، دروگرهای اسپایس فرود میان,‫متجاوزان برای فرار از گرمای روز ‫ منتظر میمونند,‫وقتی که شب میشه، ‫اِسپایس‌گیر‌ها از راه میرسند,‫وقتی که شب میشه، ‫اِسپایس‌گیر‌ها از راه میرسند,<i>شب هنگام، دورکننده های ادویه فرا میرسن</i>,و شب هنگام،ماشین های برداشت اسپایس به زمین می‌نشینن,‫شب که میشه، استخراج‌کننده‌های اسپایس میان.,‫هنگام غروب، ‫دروکنندگان اسپایس فرود میان,،شب که می‌شه ماشین‌های دروگرِ اسپایس فرود میان,<i>شب که میشه، دروگرهای اسپایس میان</i>,<i>شب که میشه، دروگرهای اسپایس میان</i>,‫هنگام غروب، ‫دروکنندگان اسپایس فرود میان,<i>شب هنگام، دورکننده های ادویه فرا میرسن</i>,بعد از غروب، پساماسه‌ها همه‌جا رو فرا می‌گیرن.‏,<i>شب ها، دلال های ادویه از راه میرسن</i>,<i>شب‌ که میشه</i> <i>بیگانه‌ها با دروگرهای اسپایس‌شون میان</i>,،شب که می‌شه ماشین‌های دروگرِ اسپایس فرود میان,بعد از غروب، پساماسه‌ها همه‌جا رو فرا می‌گیرن.‏,<i>ولی وقتی شب می‌شه، دروگرهای ادویه از آسمون فرود می‌آن.</i>,،شب که می‌شه ماشین‌های دروگرِ اسپایس فرود میان
01:26,01:30,<i>The outsiders race against time to avoid the heat of the day.</i>,بیگانه‏ها برای پرهیز از گرمایِ روز .نهایت تلاش‏شون رو می‏کنند تا کار تمام بشه,,‫متجاوزان برای فرار از گرمای روز ‫ منتظر میمونند,‫متجاوزان برای فرار از گرمای روز ‫ منتظر میمونند,<i>بیگانه ها برای دوری از گرمای روز با گذر زمان دست و پنجه نرم میکنن</i>,و نژاد بیگانه، همواره با زمان سروکله میزنه .تا از حرارت روز دوری کنه,‫خارجی‌ها، با عجله کار می‌کنن,‫بیگانه‌ها برای فرار از گرمای روز ‫با زمان مسابقه می‌دن,بیگانه‌ها از تاریکی ...نهایت استفاده رو می‌برن,<i>بیگانه‌ها برای اجتناب از گرمای روز</i> <i>با زمان در رقابتن</i>,<i>بیگانه‌ها برای اجتناب از گرمای روز</i> <i>با زمان در رقابتن</i>,‫بیگانه‌ها برای فرار از گرمای روز ‫با زمان مسابقه می‌دن,<i>بیگانه ها برای دوری از گرمای روز با گذر زمان دست و پنجه نرم میکنن</i>,خارجی‌ها تلاش می‌کنن از گرمای روز دور بمونن.‏,<i> خارجی ها سریع کار میکنن تا از گرمای روز فرار کنن</i>,<i>از تاریکی هوا نهایت استفاده رو می‌برن</i>,تا به گرمای روز برنخورن,خارجی‌ها تلاش می‌کنن از گرمای روز دور بمونن.‏,<i>خارجی‌ها با تمام سرعت مشغول کار می‌شن تا به گرمای روز نخورن.</i>,بیگانه‌ها از تاریکی ...نهایت استفاده رو می‌برن
01:40,01:43,<i>They ravage our lands in front of our eyes.</i>,جلویِ چشم‏هامون، زمین‏هامون رو .به چپاول می‏برند,‫ستمگریشون نسبت به مردم، تنها چیزیه که ‫در تمام عمرم شاهدش بودم,‫اونها سرزمین ما رو جلوی چشمامون نابود میکنند,‫اونها سرزمین ما رو جلوی چشمامون نابود میکنند,<i>جلوی چشمان‌‍مون سرزمین ما رو ویران میکنن</i>,زمین های مارو جلو چشم‌هامون .نابود میکنن,‫جلوی چشممون، زمین‌هامون رو غارت می‌کنن.,‫اونا سرزمین‌های ما رو ‫جلوی چشممون ویران می‌کنن,،جلوی چشممون زمین‌هامون رو غارت می‌کنن,<i>جلوی چشم‌مون زمین‌هامون رو غارت میکنن</i>,<i>جلوی چشم‌مون زمین‌هامون رو غارت میکنن</i>,‫اونا سرزمین‌های ما رو ‫جلوی چشممون ویران می‌کنن,<i>جلوی چشمان‌‍مون سرزمین ما رو ویران میکنن</i>,جلوی چشم‌های ما سرزمین ما رو غارت می‌کنن.‏,<i>زمینمون رو جلوی چشممون غارت میکنن</i>,<i>جلوی چشم‌مون زمین‌هامون رو غارت می‌کنن</i>,،جلوی چشممون زمین‌هامون رو غارت می‌کنن,جلوی چشم‌های ما سرزمین ما رو غارت می‌کنن.‏,<i>اونا سرزمین ما رو جلوی چشممون تاراج می‌کنن.</i>,،جلوی چشممون زمین‌هامون رو غارت می‌کنن
01:44,01:47,<i>Their cruelty to my people is all I've known.</i>,فقط همین رو دونسته‏م که .به مردمَم ستم می‏کنند,‫این غریبه‌ها، هارکونن‌ها، مدت‌ها قبل از اینکه ‫من بدنیا بیام به اینجا اومدند,‫ستمگریشون نسبت به مردم، تنها چیزیه که ‫در تمام عمرم شاهدش بودم,‫ستمگریشون نسبت به مردم، تنها چیزیه که ‫در تمام عمرم شاهدش بودم,<i>تنها چیزی که ازشون میدونم ستمی‌ که به مردمم میکنن</i>,تنها چیزی که از اونا دیدم .ظلم و جفا در حق مردمم بود,‫تو عمرم، چیزی جز ظلم ‫اونها به مردمم نشناختم.,‫تنها چیزی که دیدم ‫ظلم اون‌ها نسبت به مردممه,تمام عمرم شاهد ظلم اون‌ها به مردمم بوده‌م,<i>ظلم‌شون به مردمم</i> <i>تنها چیزیه که دنیا بهم یاد داده</i>,<i>ظلم‌شون به مردمم</i> <i>تنها چیزیه که دنیا بهم یاد داده</i>,‫تنها چیزی که دیدم ‫ظلم اون‌ها نسبت به مردممه,<i>تنها چیزی که ازشون میدونم ستمی‌ که به مردمم میکنن</i>,از اونها چیزی جز ظلم برای مردمم ندیدم.‏,<i>تنها چیزی که ازشون میدونم .بی رحم بودنشونه</i>,<i>ظلم‌شون به مردمم</i> <i>تنها چیزیه که کل عمرم شاهدش بودم</i>,تمام عمرم شاهد ظلم اون‌ها به مردمم بوده‌م,از اونها چیزی جز ظلم برای مردمم ندیدم.‏,<i>تنها چیزی که در زندگیم دیده‌ام بی‌رحمی‌شون نسبت به مردمانم بوده.</i>,تمام عمرم شاهد ظلم اون‌ها به مردمم بوده‌م
01:52,01:55,"<i>These outsiders, the Harkonnens,</i>",،این بیگانه‏ها، یعنی هارکُنِّن‏ها,‫کنترل‌شون برتولید اِسپایس باعث ثروتمند شدنشون شده.,‫این غریبه‌ها، هارکونن‌ها، مدت‌ها قبل از اینکه ‫من بدنیا بیام به اینجا اومدند,‫این غریبه‌ها، هارکونن‌ها، مدت‌ها قبل از اینکه ‫من بدنیا بیام به اینجا اومدند,<i>این بیگانگان، هارکونن‌ها قبل از متولد شدنم‌ به سرزمین ما اومدن</i>,«این بیگانه ها،«هارکوننز ها,‫این خارجی‌ها، این هارکونن‌ها،,‫این غریبه‌ها، هارکانن‌ها ‫خیلی قبل از تولد من به اینجا اومدن,"،این بیگانه‌ها ...""خاندان ""هارکنون",<i>این بیگانه‌ها، معروف به هارکنن‌ها</i> <i>سال‌ها قبل از متولد شدن من به اینجا اومدن</i>,<i>این بیگانه‌ها، معروف به هارکنن‌ها</i> <i>سال‌ها قبل از متولد شدن من به اینجا اومدن</i>,‫این غریبه‌ها، هارکانن‌ها ‫خیلی قبل از تولد من به اینجا اومدن,<i>این بیگانگان، هارکونن‌ها قبل از متولد شدنم‌ به سرزمین ما اومدن</i>,این هارکوننی‌ها،‏ قبل از تولد من به اینجا اومدن.‏,<i>،این خارجی ها، هارکونن ها .خیلی قبل از تولد من اومدن</i>,<i>این بیگانه‌ها که به هارکنون معروف‌ان</i>,"،این بیگانه‌ها ...""خاندان ""هارکنون",این هارکوننی‌ها،‏ قبل از تولد من به اینجا اومدن.‏,<i>این خارجی‌ها، هارکونن‌ها، مدت‌ها پیش از به دنیا اومدن من به اینجا اومدن.</i>,"،این بیگانه‌ها ...""خاندان ""هارکنون"
01:55,01:57,<i>came long before I was born.</i>,.مدت‏ها پیش از زاده شدنم به این‏جا اومدند,‫ثروتمندتر از امپراتور,‫این غریبه‌ها، هارکونن‌ها، مدت‌ها قبل از اینکه ‫من بدنیا بیام به اینجا اومدند,‫این غریبه‌ها، هارکونن‌ها، مدت‌ها قبل از اینکه ‫من بدنیا بیام به اینجا اومدند,<i>این بیگانگان، هارکونن‌ها قبل از متولد شدنم‌ به سرزمین ما اومدن</i>,خیلی قبل از بدنیا اومدن من، اومدن,‫خیلی قبل‌تر از تولد من اومدن.,‫این غریبه‌ها، هارکانن‌ها ‫خیلی قبل از تولد من به اینجا اومدن,خیلی قبل از تولد من، به اینجا اومدن,<i>این بیگانه‌ها، معروف به هارکنن‌ها</i> <i>سال‌ها قبل از متولد شدن من به اینجا اومدن</i>,<i>این بیگانه‌ها، معروف به هارکنن‌ها</i> <i>سال‌ها قبل از متولد شدن من به اینجا اومدن</i>,‫این غریبه‌ها، هارکانن‌ها ‫خیلی قبل از تولد من به اینجا اومدن,<i>این بیگانگان، هارکونن‌ها قبل از متولد شدنم‌ به سرزمین ما اومدن</i>,این هارکوننی‌ها،‏ قبل از تولد من به اینجا اومدن.‏,<i>با کنترل کردن تولید ادویه حسابی پولدار شدن</i>,<i>از سال‌ها قبل از تولد من به اینجا اومدن</i>,خیلی قبل از تولد من، به اینجا اومدن,این هارکوننی‌ها،‏ قبل از تولد من به اینجا اومدن.‏,<i>این خارجی‌ها، هارکونن‌ها، مدت‌ها پیش از به دنیا اومدن من به اینجا اومدن.</i>,خیلی قبل از تولد من، به اینجا اومدن
