Start Time,End Time,English,How to Train Your Dragon- open subtitle.srt,How.to.Train.Your.Dragon.2025.AMZN.WEB-DL.Fa[UTF-8].srt
00:34,00:37,This is Berk.,"اينجا ""برک"" ه","اینجا ""برک""ـه"
00:37,00:41,So far off the map that it might as well not exist.,دوازده روز تا شمال نااميدي فاصله داره و تقريباً نزديک جنوب يخبندان کُشنده است,اینقدر در نقشه دوره که انگار اصلاً وجود نداره
00:42,00:44,My village?,اين مکان بطور کاملاً استوار بر روي نصف النهار بدبختي قرار گرفته,روستام؟
00:44,00:46,"In a word, sturdy.",روستاي من در يک کلمه، استوار و محکمه,در یه کلمه، استوار
00:46,00:48,"It’s been here for generations,",روستاي من در يک کلمه، استوار و محکمه,نسل‌هاست که اینجاست
00:48,00:50,but every single building is new.,براي هفت نسل در اينجا بوده اما همه ساختمان ها جديد هستند,اما تک‌تک ساختمون‌هاش نوسازن
00:51,00:52,"The air is crisp, the water is clean,",براي هفت نسل در اينجا بوده اما همه ساختمان ها جديد هستند,هواش روح‌بخش و آبش تمیزه
00:52,00:55,and the views are nothing to complain about.,ما ماهيگيري، شکار و منظره دلرباي غروب رو داريم,و منظره‌ش هم جایی برای شکایت باقی نمی‌ذاره
00:55,00:58,The only downsides are the pests.,ما ماهيگيري، شکار و منظره دلرباي غروب رو داريم,تنها نکته‌ی منفی‌ش وجود آفت‌هاشه
01:06,01:09,"You see, most places have mice or mosquitoes.",شما مکانهاي زيادي رو ديدين که موش يا پشه دارن ...ولي ما,می‌دونین، بیشتر جاها موش یا پشه دارن
01:09,01:10,We have...,,...چیزی که ما داریم
01:16,01:18,Dragons.,ما نژاد سرسختي داريم,اژدهاست
01:22,01:24,Most people would leave.,"اسم من ""هيکاپ"" ه (سکسکه)",با این وضع، بیشتر مردم می‌ذاشتن و می‌رفتن
01:24,01:26,Not us.,اسم عجيبيه. ميدونم. اما بدترين نام نيست,.ولی ما نه
01:26,01:27,We’re Vikings.,"والدين معتقدند که يه اسم ترسناک نوم ها"" و ""ترول ها"" رو دچار وحشت ميکنه""",ما وایکینگ هستم
01:28,01:29,We don’t run from fights. We start them.,"والدين معتقدند که يه اسم ترسناک نوم ها"" و ""ترول ها"" رو دچار وحشت ميکنه""",ما از جنگ‌ها فرار نمی‌کنیم خودمون شروع‌کننده‌شون هستیم
