Start Time,End Time,English,Inception (2010) DVDRip mkv - H264 - 560MB. ShAaNiG.MAXSPEED.srt,Inception.2010.720p-[OnlineFa-5_Com].srt,Inception.2010.720p.BluRay.x264-CROSSBOW.srt,Inception.srt,inception_open subtitle.srt
00:00,00:30,Subtitles downloaded from https://kickasssubtitles.com,,"<i><font color=""#00ff00"">تيــــم تــرجـــمــه ســـايــــت</font> <font color=""#ffffff"">.:: WwW.RapidBaz.Org ::.</font> <font color=""#DE2504"">.تقــديـــم مــي کــند</font></i>","<i><font color=""#00ff00"">تيــــم تــرجـــمــه ســـايــــت</font> <font color=""#ffffff"">.:: WwW.RapidBaz.Org ::.</font> <font color=""#DE2504"">.تقــديـــم مــي کــند</font></i>",,تقديم به فارسي‌زبانان جهان
00:55,00:57,[CHILDREN LAUGHING],,,,,
01:12,01:13,[PHILLIPA SCREAMS],,"<i>:تـرجـمـه و زيرنويس از <font color=""#DE2504"">حــمــزه دکــســتر</font> <font color=""#DE2504"">hamzeh.dexter</font><font color=""#ffffff"">@<font><font color=""#00ff00"">yahoo.com</font>","<i>:تـرجـمـه و زيرنويس از <font color=""#DE2504"">حــمــزه دکــســتر</font> <font color=""#DE2504"">hamzeh.dexter</font><font color=""#ffffff"">@<font><font color=""#00ff00"">yahoo.com</font>",,
01:25,01:26,[SPEAKING IN JAPANESE],هی، بیا اینجا كنار ساحل یه مردی رو پیدا كردم,,,,ميدونم اين چيه
01:33,01:38,He was delirious. But asked for you by name.,اون هذیان می‌گفت ولی اسم شما رو آورد,،اون داشت هذيون ميگفت ...ولي اسمِ شما رو مياورد,،اون داشت هذيون ميگفت ...ولي اسمِ شما رو مياورد,,اين متعلق به مردي بود كه در خوابي نيمه‌فراموش شده، ديده بودم
01:40,01:42,Show him.,.نشونش بده,.نشونشون بده,.نشونشون بده,,مردي كه نظريه‌ي خيلي افراطي‌اي داشت
01:43,01:46,He was carrying nothing but this...,...فقط این رو همراهش داشت,...اون هيچي به همراه نداشت، بجز اين,...اون هيچي به همراه نداشت، بجز اين,,مردي كه نظريه‌ي خيلي افراطي‌اي داشت
01:47,01:49,... and this.,.و این رو,.و اين...,.و اين...,,
02:10,02:12,Are you here to kill me?,تو اومدی كه منو بكشی؟,اومدي اينجا که منو بکُشي؟,اومدي اينجا که منو بکُشي؟,اومدی اینجا منو بکشی؟,وقتي كه فكري وارد ذهن آدم شد تقريبا غيرممكنه كه بتوني نابودش كني
02:20,02:23,I know what this is,.میدونم این چیه,. ميدونم اين چيه,. ميدونم اين چيه,.من می دونم این چیه,در خواب عملكرد سيستم دفاعي ناخودآگاه كاهش پيدا ميكنه
