Start Time,End Time,English,Mickey.17.2025.1080p.iT.WEB-DL.DDP5.1.Atmos.H.264-BYNDR [Fa].srt,Mickey.17.2025.@nestedsub.srt
01:06,01:08,{\an8} <i>How did I survive that?</i>,‫چطوری از همچین سقوطی جون سالم به‌در بردم؟,NESTED ‫با افتخار تقدیم می‌کند
01:10,01:13,<i>It was some damn fall.</i>,‫عجب سقوط ناجوری بود,
01:13,01:17,"<i>Oh, shit. My comm's busted.</i>",‫گندش بزنن. سیستم ارتباطیم از کار افتاده,‫.::: مترجم مرتضی راکی :::. کانال تلگرام : @nestedsub
01:17,01:19,<i>My thermal's busted too.</i>,‫سیستم حرارتیم هم از کار افتاده,‫.::: مترجم مرتضی راکی :::. کانال تلگرام : @nestedsub
01:21,01:24,"<i>I should have got snapped in half and died on the way down,</i>",‫باید در حین سقوط,‫سال 2054، سیاره نیفلهایم
01:24,01:28,<i>instead of slowly turning into a meat popsicle.</i>,‫جای اینکه آروم آروم ‫تبدیل به بستنی یخی بشم,‫چطوری از اون سقوط جون سالم به در بردم؟
01:30,01:31,Timo?,‫تیمو؟,‫چه سقوط لعنتی ای بود.
01:33,01:34,Timo!,‫تیمو!,‫لعنتی. ارتباطاتم از کار افتاد.
01:36,01:38,"Timo, I'm down here.",‫تیمو، من این پایینم,‫دوربین حرارتی ام هم از کار افتاد.
01:39,01:41,Ow.,‫آخ,‫باید نصف میشدم و همون پایین میمردم،
01:42,01:43,Timo.,‫تیمو,‫باید نصف میشدم و همون پایین میمردم،
01:48,01:49,Mickey?,‫میکی؟,‫تیمو؟
01:49,01:51,T... Timo!,‫تیـ... تیمو!,‫تیمو؟
01:51,01:55,"- Timo, I'm down here. - Mickey. Whoa.",‫- تیمو، من این پایینم ‫- میکی. عجب,‫تیمو!
01:55,01:57,You haven't died yet?,‫هنوز نمردی؟,‫تیمو، من اینجام.
01:58,01:59,- No. - Hold on.,‫- نه ‫- وایسا الان میام,
02:10,02:11,"Oh, shit.",‫اوه، پشمام,‫تیمو!
02:12,02:14,Your flamethrower's still good.,‫شعله‌افکنت هنوز سالمه,‫تیمو، من این پایینم. میکی!
02:15,02:16,Not a single scratch.,‫یه خراشم روش نیفتاده,‫هنوز نمردی؟
02:17,02:19,It's a good thing I thought to come down here.,‫خوب شد به فکرم رسید بیام این پایین,‫نه. صبر کن.
02:19,02:21,Weapons will be happy to see this.,‫بچه‌های بخش تسلیحات ‫ از دیدن این خوشحال میشن,
02:21,02:22,"Hey, I'm gonna turn this in, okay?",‫هی، میرم اینو تحویل میدم، باشه؟,
02:22,02:24,I can take it.,‫خودم می‌تونم ببرمش,
02:25,02:28,"You're not mad, right? That I'm just taking this?",‫عصبانی که نیستی، مگه نه؟ ‫که دارم اینو می‌برم؟,
02:29,02:33,"I mean, it's not looking very good for you, right?",‫آخه، اوضاعت چندان خوب بنظر نمیاد، مگه نه؟,‫لعنتی.
02:33,02:37,"- Also, line only goes this far. - Uh-huh.",‫- بعلاوه، طناب فقط تا اینجا می‌رسه ‫- اوهوم,‫یه خراش هم برنداشته.
02:38,02:41,"Yeah, no, we... we're cool.",‫آره، نه، مشکلی... مشکلی نیست,‫بخش تسلیحات از دیدن این خوشحال میشه. ‫اینو تحویل میدم، باشه؟
02:43,02:45,You shouldn't have to take the risk.,‫لازم نیست خطرشو به جون بخری,‫خودم میتونم ببرمش.
02:46,02:48,"Yeah, that's what I'm saying.",‫آره، منم همینو میگم,‫ناراحت که نیستی، درسته؟ که اینو میبرم؟
02:52,02:54,"Plus, they're gonna reprint you back out tomorrow anyway.",‫بعلاوه، درهرحال فردا دوباره چاپت می‌کنن,‫ضمن اینکه، ته طناب همین جاست.
02:56,02:57,Yeah.,‫آره,
03:01,03:02,"Hey, Mickey.",‫میگما، میکی,
03:03,03:04,Yeah?,‫بله؟,‫لازم نیست تو این ریسک رو بکنی.
