Start Time,End Time,English,Poor.Things-open subtitle.srt,Poor.Things.2023.2160p.WEB-DL.DDP5.1.Atmos.H.265-FLUX.Fa.srt,Poor.Things.2023.480p.WEB-DL.DDP5.1.Atmos.H.264-FLUX.srt,Poor.Things.2023.720p.1080p.WEB-DL.srt,Poor.Things.2023.Film2Media.Duration1.srt,Poor.Things.2023.Film2Media.Duration2.srt
00:02,00:07,Downloaded from YTS.MX,,,,,"{\an7}<font face=""Calibri"" color=#ffa500><b>«ارائــه شده توسط فـیـلــم2مـدیـا» <font color=#ff0000>[ wWw.F2M.Top ]</font></font></b>","{\an8}<font face=""Calibri"" color=#ffa500><b>«ارائــه شده توسط فـیـلــم2مـدیـا» <font color=#ff0000>[ wWw.F2M.Top ]</font></font></b>"
00:08,00:13,Official YIFY movies site: YTS.MX,,ارائه‌شده توسط وب‌سایت دیجی‌موویز :.:.: DigiMoviez.Com :.:.:,,,"<b><font face=""Calibri"" color=#ffffff>«فـیـلـم2مـدیـا را در تلگرام دنبال کنید» <font color=#edff00>@Film2Media_Plus</font></font></b>","{\an8}<b><font face=""Calibri"" color=#ffffff>«فـیـلـم2مـدیـا را در تلگرام دنبال کنید» <font color=#edff00>@Film2Media_Plus</font></font></b>"
04:37,04:38,Ba.,خداح,‫خدافظ,خداح,‫با,خداحافـ,
04:39,04:41,Ba! Ba!,خداح,‫خدافظ! خدافظ!,خداح,‫بابا!,خداحافـ! خداحافـ,
04:43,04:45,"Ba, ba, ba.",خداح,‫خدافظ، خدافظ,خداح,‫با با با.,خداحافـ، خداحافـ، خداحافـ,
04:46,04:48,"- Bye. - Ba, ba.",خداحافظ - خداح -,‫- خداحافظ ‫- خدافظ,خداحافظ - خداح -,‫- خدافظ. ‫- با با.,خدافظ - خداحافـ -,خداحافـ
04:51,04:55,A pile of organs without the spark of self from a brain...,بدون اثری از فردیتِ ناشی از مغز,‫که بدون فرمان‌پذیری از مغز ‫و خون‌رسانیِ قلب,بدون اثری از فردیتِ ناشی از مغز,‫یک مشت ارگان بدنی ‫عاری از فرمان مغز...,،بدون جرقه‌ای از خود، که ناشی از مغزیست,خداحافـ، خداحافـ، خداحافـ
04:55,04:57,or the pump of blood from a heart.,و بدون پمپاژ خون به وسیله‌ی قلب,‫تکه گوشتی بیش نیستن,و بدون پمپاژ خون به وسیله‌ی قلب,‫و قلبی خالی از پمپاژ خون.,یا پمپاژ خون از قلبی است,خدافظ - خداحافـ -
04:57,05:00,Just a butcher's tray for a Sunday lunch.,همچون دیسِ گوشت قصابی که مخصوصِ ناهار یک‌شنبه‌ست,‫فرقی با سینیِ ناهار آخر هفته‌ی قصاب ندارن,همچون دیسِ گوشت قصابی که مخصوصِ ناهار یک‌شنبه‌ست,‫فرقی با کار یک قصاب نداره.,فقط یک سینی اقلام قصابی برای ناهار یکشنبه هستن,خدافظ - خداحافـ -
05:01,05:05,"Now, who would like to reconstruct the organs?",کی می‌خواد این اندام‌ها رو سرِ هم کنه؟,‫خب، کی می‌خواد این اندام‌ها رو ‫بذاره سر جاشون؟,کی می‌خواد این اندام‌ها رو سرِ هم کنه؟,‫کی میخواد هر ارگان رو ‫جای مخصوص خودش بذاره؟,اکنون چه کسی می‌خواهد این اندام‌های بدن رو در جای خود بازسازی کند؟,،بدون جرقه‌ای از خود، که ناشی از مغزیست
05:05,05:10,"And who can tell human from animal, if there is a difference?",و کی می‌تونه فرق بین انسان و حیوان رو تشخیص بده؟,‫کی می‌تونه اندام‌های بدن انسان رو ‫از حیوان تشخیص بده؟,و کی می‌تونه فرق بین انسان و حیوان رو تشخیص بده؟,‫و کی می‌تونه فرق انسان و حیوان ‫رو تشخیص بده؟ البته اگر فرقی باشه.,و چه کسی قادر است ،انسان رو از حیوان متمایز کند,فقط یک سینی اقلام قصابی برای ناهار یکشنبه هستن
05:13,05:14,"Come, come.",یالا دیگه,‫یالا، بیاید,یالا دیگه,‫خجالت نکشید.,بیاین، بیاین,اکنون چه کسی می‌خواهد این اندام‌های بدن رو در جای خود بازسازی کند؟
05:15,05:18,"You did puzzles as children, did you not?",بچه که بودید پازل حل می‌کردید، نه؟,‫مگه شما توی بچگی ‫پازل حل نمی‌کردید؟,بچه که بودید پازل حل می‌کردید، نه؟,‫مگه توی بچگی پازل بازی نکردین؟,،در کودکی که جورچین بازی کردین مگر نه؟,و چه کسی قادر است ،انسان رو از حیوان متمایز کند
05:19,05:23,"Is it just me, or is it devilishly hard to concentrate when the monster's talking?",فقط من این‌جوری‌ام یا کلاً وقتی یک هیولا حرف می‌زنه,‫فقط من این‌جوریم، ‫یا شما هم موقع صحبت این هیولا,فقط من این‌جوری‌ام یا کلاً وقتی یک هیولا حرف می‌زنه,‫مشکل از منه یا تمرکز روی ‫حرف‌های این هیولا واقعا سخته؟,فقط من اینطورم ،یا تمرکز کردن قد یه دنیا مکافات داره,اگر که تفاوتی وجود دارد؟
