Start Time,End Time,English,The.Wild.Robot.-open subtile.srt,The.Wild.Robot.2024.1080p.10bit.BluRay.6CH.x265.HEVC-PSA [Fa].srt,The.Wild.Robot.2024.480p.BluRay.x264-RMTeam.Fa.srt,The.Wild.Robot.2024.WEB.DigiMoviez.FA.srt,The.Wild.Robot.2024.WEB.Fa.srt,The_Wild_Robot_2024.srt
02:00,02:02,Hello. Bonjour.,"""سلام. ""بونژور <font face=""Calibri"" color=""#fdffae""><b>(روز بخیر به زبون فرانسوی)</b></font>",‫سلام. روز بخیر (فرانسوی),سلام. درود [ به انگلیسی و فرانسوی ],‫سلام. بنجور,سلام. درود [ به انگلیسی و فرانسوی ],سلام درود
02:02,02:05,Guten Tag. Hujambo. Hola.,روزتون پیروز. درود. سلام علیکم,‫روز بخیر (آلمانی) ‫سلام (سواحیلی)، سلام (اسپانیایی),روز خوش. سلام. درود [ به آلمانی، سواحیلی و لاتین ],‫گوتن تگ. هوجامبو. اولا,روز خوش. سلام. درود [ به آلمانی، سواحیلی و لاتین ],روز بخیر، درود، سلام
02:05,02:07,Congratulations on your purchase,خرید ربات از,"‫خرید ربات ""یونیورسال داینامیکس"" رو",بابت خرید ربات یونیورسال داینامیکس,‫خرید یه ربات یونیورسال داینامیکس رو,بابت خرید ربات یونیورسال داینامیکس,... بابت خرید ربات یونیورسال داینامیکس
02:07,02:09,of a Universal Dynamics robot.,"پویایی‌های جهانی"" را به شما تبریک می‌گوییم""",‫به شما تبریک عرض می‌کنم,بهتون تبریک می‌گم,‫به شما تبریک میگم,بهتون تبریک می‌گم,به شما تبریک عرض می‌کنم
02:09,02:12,I am Rozzum 7134.,من رازوم ۷۱۳۴ هستم,"‫من ""رازم 7134"" هستم",من رازوم 7134 هستم,‫من رُزوم ۷۱۳۴ هستم,من رازوم 7134 هستم,من رازم 7134 هستم
02:12,02:15,A Rozzum always completes its task.,یک رازوم همیشه وظیفه خودش رو تکمیل میکنه,‫یه رازم همیشه وظیفه‌ش رو تکمیل می‌کنه,یک رازوم، همیشه کارهاش رو کامل انجام می‌ده,‫یه رُزوم همیشه ماموریتـش رو کامل انجام میده,یک رازوم، همیشه کارهاش رو کامل انجام می‌ده,یه رازم همیشه به وظیفه‌اش عمل می‌کنه
02:15,02:16,Just ask.,فقط درخواست کنید,‫امر بفرمایید,فقط بخواید,کافیـه درخواست کنید,فقط بخواید,فقط لب تر کنید
02:21,02:22,Just ask.,فقط درخواست کنید,‫امر بفرمایید,فقط بخواید,کافیـه درخواست کنید,فقط بخواید,لب تر کنید
02:35,02:36,Processing.,در حال پردازشَش,‫درحال پردازش,درحال پردازش,‫درحال پردازش,درحال پردازش,درحال پردازش
03:14,03:16,Do you need...,...شما به,‫نیاز به...,...کمک,‫آیا نیاز به...,...کمک,... نیاز به
03:16,03:18,assistance?,مساعدتی نیاز دارین؟,‫کمک دارید؟,لازم داری؟,‫کمک دارید؟,لازم داری؟,کمک داری؟
03:32,03:35,Ready to receive my first task.,آماده‌ام تا اولین وظیفه‌م را دریافت کنم,‫آماده‌ی دریافت اولین وظیفه‌م هستم,آماده انجام اولین وظیفه‌م هستم,‫آماده‌ی دریافت اولین ماموریت,آماده انجام اولین وظیفه‌م هستم,آماده انجام اولین وظیفه‌ام هستم
04:02,04:07,Rozzum 7134 is available for task assignment.,رازوم ۷۱۳۴ برای محول شدن وظیفه در دسترس می‌باشد,‫رازم 7134 آماده‌ی دریافت وظیفه‌ست,رازوم 7134 جهت انجام وظیفه در دسترسه,‫رُزوم ۷۱۳۴ آماده‌ دریافت ماموریت است,رازوم 7134 جهت انجام وظیفه در دسترسه,رازم 7134 آماده انجام وظیفه‌ست
04:09,04:12,Rozzum robots come standard with the Alpha-113,ربات‌های رازوم به طور مرسوم با پردازنده‌ی بُعدی آلفا ۱۳,‫تمام ربات‌های رازم دارای پردازنده‌ی چندبُعدی,ربات‌های رازوم، دارای پردازنده بین ابعادیِ,‫ربات‌های رُزوم به ‌صورت استاندارد ‫با پردازنده ابعادی,ربات‌های رازوم، دارای پردازنده بین ابعادیِ,... ربات‌های رازم مجهز به پردازنده ابعادی
04:12,04:14,dimensional processor.,عرضه می‌شوند,‫آلفا-113 هستن,آلفا 113 هستن,‫آلفا-۱۱۳ عرضه می‌شوند,آلفا 113 هستن,آلفا-113 هستن
